"Index","Root","Dice 1","RR choice 1","Outcome 1","Score 1","Dice 2","RR choice 2","Outcome 2","Score 2",
0,0.384931,0.354456,0.368488,0.370073,0.740444,0.417035,0,0,0,
1,"",0.350583,0.314499,0.259225,0,0.815095,0.495013,1,1,
2,"",0.484621,0.379944,0.631509,0.259011,0.915936,0.752098,1,1,
3,"","",0.260986,"",0.259438,0,1,0,0,
4,"","",0.445773,"",0.262534,0,1,0,0,
5,"","",0.631011,"",1,0,1,0,0,
6,"","","","","",0.0844233,0,0,1,
7,"","","","","",0.185994,0,0,0,
8,"","","","","",0.581867,0,1,1,
9,"","","","","",0.580081,0,1,"",
10,"","","","","",0.18841,0,0,"",
11,"","","","","",0.0818031,0,0,"",
12,"","","","","",0.0815711,0,0,"",
13,"","","","","",0.191265,0,0,"",
14,"","","","","",0.584026,0.248601,1,"",
15,"","","","","",1,0,1,"",
16,"","","","","",1,0.497929,1,"",
17,"","","","","",1,1,1,"",
18,"","","","","","",1,"","",
19,"","","","","","",0.49577,"","",
20,"","","","","","",0.253589,"","",
21,"","","","","","",0,"","",
22,"","","","","","",0,"","",
23,"","","","","","",0,"","",
24,"","","","","","",0,"","",
25,"","","","","","",0,"","",
26,"","","","","","",0.255814,"","",
27,"","","","","","",0,"","",
28,"","","","","","",0.501464,"","",
29,"","","","","","",1,"","",
30,"","","","","","",1,"","",
31,"","","","","","",1,"","",
32,"","","","","","",1,"","",
33,"","","","","","",1,"","",
34,"","","","","","",1,"","",
35,"","","","","","",1,"","",
