"Index","Root","Dice 1","RR choice 1","Outcome 1","Score 1","Dice 2","RR choice 2","Outcome 2","Score 2",
0,0.192474,0.150166,0.130564,0.131705,0.263516,0.0843766,0,0,0,
1,"",0.175302,0.129489,0.12941,0,0.193395,0,0,0,
2,"",0.269571,0.189925,0.369649,0.259011,0.582668,0.252861,1,1,
3,"","",0.132059,"",0,0,0,0,0,
4,"","",0.249898,"",0,0,0.502003,0,0,
5,"","",0.369732,"",0.738814,0,1,0,0,
6,"","","","","",0.0844233,0,0,1,
7,"","","","","",0.185994,0,0,0,
8,"","","","","",0.581867,0,1,0,
9,"","","","","",0,0,0,"",
10,"","","","","",0,0,0,"",
11,"","","","","",0,0,0,"",
12,"","","","","",0,0,0,"",
13,"","","","","",0,0,0,"",
14,"","","","","",0,0.248601,0,"",
15,"","","","","",0.915863,0,1,"",
16,"","","","","",0.807258,0.497929,1,"",
17,"","","","","",0.423397,1,0,"",
18,"","","","","","",0,"","",
19,"","","","","","",0,"","",
20,"","","","","","",0,"","",
21,"","","","","","",0,"","",
22,"","","","","","",0,"","",
23,"","","","","","",0,"","",
24,"","","","","","",0,"","",
25,"","","","","","",0,"","",
26,"","","","","","",0,"","",
27,"","","","","","",0,"","",
28,"","","","","","",0,"","",
29,"","","","","","",0,"","",
30,"","","","","","",1,"","",
31,"","","","","","",1,"","",
32,"","","","","","",0.745833,"","",
33,"","","","","","",1,"","",
34,"","","","","","",0.501011,"","",
35,"","","","","","",0,"","",
